Case #1: 165
Case #2: 103
Case #3: Mission Impossible.
Case #4: 1451582
Case #5: 1448459
Case #6: Mission Impossible.
Case #7: Mission Impossible.
Case #8: 497425
Case #9: 368465
Case #10: 142622
Case #11: 1154848
Case #12: 1480249
Case #13: 1480249
Case #14: 31342
Case #15: 33429
Case #16: 37657
Case #17: 79195
Case #18: 101758
Case #19: 8523
Case #20: 131748
Case #21: 92473
Case #22: 80489
Case #23: 65322
Case #24: 25885
Case #25: 126060
Case #26: 35617
Case #27: 25187939
Case #28: 17287631
Case #29: 1429111
Case #30: Mission Impossible.
